filtered_text;date
2006 Kleine Anfrage der Abgeordneten Sylvia Kotting-Uhl, Hans-Josef Fell, Renate Künast, Fritz Kuhn und der Fraktion BÜNDNIS 90/ DIE GRÜNEN Laufzeitübertragung von Atomkraftwerken Mit dem Atomgesetz wurde der vertraglich zwischen Atomkraftwerksbetreibern und Bundesregierung vereinbarte Ausstieg aus der Kernenergie gesetzlich festgeschrieben. „Biblis ist das älteste in Betrieb befindliche Atomkraftwerk in Deutschland. Der 1974 in Betrieb genommene Block A des Atomkraftwerks Biblis ist einer der drei ältesten Reaktoren der Republik und weist erhebliche technische Defizite auf.“1 In der Vergangenheit kam es in diesem AKW zu schwerwiegenden Störfällen: Am 16.-17. Kann das Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit nach Rechtsauffassung der Bundesregierung einen Antrag auf Reststrommengenübertragung eines neueren AKW auf ein älteres Atomkraftwerke wie Biblis A eigenmächtig ablehnen oder muss eine solche Ablehnung nur im Einvernehmen mit dem Bundesministerium für Wirtschaft und Technologie und dem Bundeskanzleramt erfolgen? Welche in Betrieb befindlichen deutsche Atomkraftwerke verfügen über eine solche Notstandswarte? Welches in Betrieb befindliche deutsche Atomkraftwerk verfügt über solche katalytischen Rekombinatoren? Ist die Notstromversorgung in den Atomkraftwerken Biblis A und B sicherheitstechnisch auf dem gleichen Sicherheitsniveau wie die des AKW Lingen? Welche Atomkraftwerke weisen am häufigsten so genannte Gefährdungszustände (Plant Hazard States) auf?;23.11.2006
Es existieren sehr große Unterschiede – das hat auch Herr Müller gerade angesprochen – zwischen CDU/CSU und SPD in der Frage der Nutzung der Atomkraft.;19.05.2006
Die EU-Mitgliedstaaten, die Atomkraft weiter nutzen, dürfen dafür keine Förderung aus Mitteln der EU bzw. Die Förderung und Privilegierung von Atomkraft ist zu beenden. Die finanzielle und sonstige Begünstigung von Atomkraftwerksbauten in Mittel- und Osteuropa ist einzustellen.;13.12.2006
Diesen Mann hört man immer nur dann, wenn es darum geht, dass man die Laufzeiten der Atomkraftwerke verlängern müsse. (Beifall beim BÜNDNIS 90/DIE GRÜNEN sowie bei Abgeordneten der LINKEN) Mit Blick auf den G-8-Gipfel erwarte ich von Ihnen, Frau Merkel, dass Sie dort tatsächlich eine konsistente Energiepolitik machen und dafür sorgen, dass in den nächsten Jahren die G-8-Staaten nicht wie bislang geplant Gelder in Höhe von 17 000 Milliarden US-Dollar – das ist 70 Mal so viel wie der Bundeshaushalt – für Atomkraft und die Erschließung der letzten Öl- und Gasreserven ausgeben.;21.06.2006
Antwort der Bundesregierung auf die Kleine Anfrage der Abgeordneten Sylvia Kotting-Uhl, Hans-Josef Fell, Renate Künast, Fritz Kuhn und der Fraktion BÜNDNIS 90/DIE GRÜNEN – Drucksache 16/3568 – Laufzeitübertragung von Atomkraftwerken Vorbemerkung der Fragesteller Mit dem Atomgesetz wurde der vertraglich zwischen Atomkraftwerksbetreibern und Bundesregierung vereinbarte Ausstieg aus der Kernenergie gesetzlich festgeschrieben. „Biblis ist das älteste in Betrieb befindliche Atomkraftwerk in Deutschland. Der 1974 in Betrieb genommene Block A des Atomkraftwerks Biblis ist einer der drei ältesten Reaktoren der Republik und weist erhebliche technische Defizite auf.“1 In der Vergangenheit kam es in diesem AKW zu schwerwiegenden Störfällen: Am 16.-17. Kann das Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit nach Rechtsauffassung der Bundesregierung einen Antrag auf Reststrommengenübertragung eines neueren AKW auf ein älteres Atomkraftwerke wie Biblis A eigenmächtig ablehnen oder muss eine solche Ablehnung nur im Einvernehmen mit dem Bundesministerium für Wirtschaft und Technologie und dem Bundeskanzleramt erfolgen? Welche in Betrieb befindlichen deutschen Atomkraftwerke verfügen über eine solche Notstandswarte? Welches in Betrieb befindliche deutsche Atomkraftwerk verfügt über solche katalytischen Rekombinatoren? Ist die Notstromversorgung in den Atomkraftwerken Biblis A und B sicherheitstechnisch auf dem gleichen Sicherheitsniveau wie die des AKW Lingen? Welche Atomkraftwerke weisen am häufigsten so genannte Gefährdungszustände (Plant Hazard States) auf?;21.12.2006
"Reinhard Loske, Wolfgang Wieland und der Fraktion BÜNDNIS 90/DIE GRÜNEN Sicherheit geht vor – Besonders terroranfällige Atomreaktoren abschalten Der Bundestag wolle beschließen: Der Deutsche Bundestag fordert die Bundesregierung auf, ● festzustellen, dass die Pläne der Betreiber, ihre Atomkraftwerke durch Vernebelungsanlagen gegen Terrorangriffe mit Verkehrsflugzeugen zu schützen, gescheitert sind; ● auf die Betreiber einzuwirken, die besonders verwundbaren Atomkraftwerke, die lediglich gegen den Absturz leichter Sportflugzeuge geschützt sind bzw. nur einen Schutz gegen den Absturz einer leichten Militärmaschine (Starfighter) aufweisen, stillzulegen, indem Reststrommengen auf jüngere Atomkraftwerke übertragen werden, was im Rahmen des Atomkonsenses und des Atomgesetzes möglich ist; ● von den Betreibern mit einer klaren Fristsetzung für alle übrigen Anlagen bauliche Schutzmaßnahmen und den Nachweis zu verlangen, dass es beim Angriff mit einem Verkehrsflugzeug nicht zu einer nuklearen Katastrophe kommt. Dem „9/11 Commission Report“ zur Aufarbeitung der Terrorangriffe auf New York und Washington ist zu entnehmen, dass die Gruppe um Mohammed Atta und Ramzi Binalshibh auch einen Angriff auf ein Atomkraftwerk in der Nähe von New York in Erwägung gezogen hatte. Im Bericht heißt es: „They thought a nuclear target would be difficult because the airspace around it was restricted […] increasing the likelihood that any plane would be shot down before impact.“ Die Bundesregierung hat die Verwundbarkeit von Atomkraftwerken durch gezielt herbeigeführte Abstürze von Verkehrsflugzeugen durch die Gesellschaft für Anlagen- und Reaktorsicherheit (GRS) mbH untersuchen lassen und festgestellt, dass ● Atomkraftwerke grundsätzlich getroffen werden können, ● es Anlagen gibt, die nicht einmal gegen den Absturz von kleineren Militärmaschinen ausgelegt sind. Die Betreiber haben daraufhin Pläne entwickelt, ihre Atomkraftwerke im Angriffsfall zu vernebeln, um so die Trefferwahrscheinlichkeit deutlich herabzusetzen. Ein Schutzkonzept für Atomkraftwerke darf nicht auf einer verfassungswidrigen Ermächtigung zum Abschuss eines Verkehrsflugzeuges aufbauen. nur äußerst mangelhaft gegen Flugzeugabstürze geschützten Atomkraftwerke so schnell wie möglich stillzulegen. nur mangelhaft geschützten Atomkraftwerke sind abzuschalten. Für alle übrigen Atomkraftwerke sind bauliche Schutzmaßnahmen und der Nachweis von den Betreibern einzufordern, dass es im Falle eines Angriffs mit einem Verkehrsflugzeug nicht zu einer nuklearen Katastrophe kommt.";21.12.2006
Mit ihren wiederholten Hinweisen, dass sie sich durchgängig längere Laufzeiten für ihre Atomkraftwerke wünschen, verstärken sie diese Haltung. Gleichzeitig haben die vier Atomstromkonzerne bis heute keine relevante Maßnahme durchgeführt, um die Gefahren eines Terrorangriffs gegen Atomkraftwerke deutlich zu vermindern, weder durch bauliche Schutzmaßnahmen noch durch über einen Versuch hinausgehende angekündigte Vernebelungseinrichtungen.;21.12.2006
St., der im Zuge fehlerhafter Dübel im Atomkraftwerk Biblis wegen „zerrüttetem Vertrauensverhältnis“ gekündigt wurde, außer Biblis noch geprüft? Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/ DIE GRÜNEN) Werden auch diese Atomkraftwerke auf fehlerhafte Dübel überprüft, wenn nein, warum nicht?;22.12.2006
Man kann nicht auf der einen Seite bei der der Atomkraft ständig die ungelöste Endlagerfrage kritisieren, Herr Gabriel, aber auf der anderen Seite die Mittel für ein planungsrechtlich erschlossenes Endlager zurückhalten. Ich halte es nicht für zweckdienlich, wenn dort Broschüren mit dem Titel „Atomkraft: Ein teurer Irrweg“ auftauchen. Ich würde gerne von Ihnen wissen: Werden Sie sich dafür einsetzen, dass in dieser Legislaturperiode die Laufzeiten der Atomkraftwerke verlängert werden? Die ökologisch schädlichen Subventionen – Kerosinsteuerbefreiung für die Luftfahrt, steuerfreier Schiffsdiesel, Agrardiesel oder Rückstellungen für Atomkraftwerke – wurden nicht abgebaut. (Beifall bei der SPD sowie bei Abgeordneten der CDU/CSU – Hans-Josef Fell [BÜNDNIS 90/DIE GRÜNEN]: Ich habe von dem Bundestagsantrag gesprochen!) Was die Atomkraft angeht, könnte ich mir jetzt einen Schlenker zum Koalitionspartner erlauben, aber ich sage dazu nichts.;22.06.2006
Abgeordneter Hans-Josef Fell (BÜNDNIS 90/ DIE GRÜNEN) Liegen der Bundesregierung Erkenntnisse vor über kartellrechtswidrige Absprachen in Europa bezüglich der Vergabe von Aufträgen für Kraftwerke im Allgemeinen und Atomkraftwerken im Besonderen?;26.01.2007
Die Atomkraft bietet weder einen Ausweg aus der Klimaproblematik noch eine Lösung unserer Energieprobleme.;31.01.2007
