Text	Date
M. Jackie Pierre.Ma question s'adresse à Mme la ministre déléguée au commerce extérieur. Madame la ministre, je souhaite vous interroger au sujet des problèmes d'approvisionnement en pétrole que connaissent actuellement certains pays européens. En effet, depuis plusieurs jours, l'oléoduc Droujba en Biélorussie est fermé. Or cet oléoduc délivre 12,5 % du pétrole consommé par l'Union européenne. Hier, à l'heure où Moscou refusait de reprendre les négociations avec Minsk, la Commission européenne présentait un ensemble de propositions afin de définir une politique européenne en matière énergétique. Madame la ministre, quelle est la situation de la France en termes d'approvisionnement de pétrole ? Sommes-nous, comme quelques-uns de nos voisins européens, dépendants et à la merci des négociations entre le pays producteur et le pays qui achemine ce pétrole en Europe ? Si tel est le cas, quelles mesures envisagez-vous de prendre afin que l'Europe, et par conséquent la France, soit indépendante en matière énergétique ?(Très bien ! et applaudissements sur les travées de l'UMP.)	12.01.2007
M. Jean-François Husson.Ma question s'adresse à Mme Emmanuelle Wargon. Madame la secrétaire d'État, samedi dernier, avec calme et bonne humeur et dans une ambiance festive, près de 400 000 Français, d'âges, de conditions, d'engagements associatifs ou politiques très divers, ont manifesté pour que soit revue à la hausse l'ambition de la France en matière d'écologie, au lendemain de la grève de la jeunesse pour le climat. Dans les deux cas, l'inaction du Gouvernement a été fustigée. Je note que cela vous a laissé sans voix et sans réaction lorsque, hier, Nicolas Hulot claquait la porte en regrettant la politique des petits pas, autrement dit l'immobilisme. Les Français vous exhortent aujourd'hui à agir. Pouvez-vous nous indiquer quelle est l'ambition du Gouvernement en matière de politique en faveur du climat et de promotion d'une écologie positive plutôt que punitive ?(Applaudissements sur les travées du groupe Les Républicains, ainsi que sur des travées du groupe Union Centriste.)	22.03.2019
M. Jean-Louis Masson attire l'attention de M. le Premier ministre sur les conséquences médicales que les personnels civils et militaires connaissent à la suite d'essais nucléaires effectués sur les bases sahariennes et polynésiennes. Il souhaiterait qu'il lui indique l'évolution des travaux du comité interministériel. Il souhaiterait également savoir si une étude épidémiologique complète est réalisée auprès des personnels civils et militaires et de leurs descendants et s'il est envisagé de créer un fonds spécial d'indemnisation des victimes.	15.07.2004
Mme Muguette Dini.Ma question s'adresse à M. le ministre des affaires étrangères. Monsieur le président, monsieur le ministre, mes chers collègues, le président iranien Mahmoud Ahmadinejad vient d'organiser à Téhéran une conférence pseudo scientifique sur l'Holocauste, visant à contester la réalité historique de la Shoah. Depuis son arrivée au pouvoir en Iran, le président a été un vecteur de la résurgence de thèses négationnistes, qui sont inacceptables. Je suis chargée depuis dix ans, par le président du conseil général du Rhône, d'organiser et d'accompagner chaque année un voyage à Auschwitz pour 150 collégiens, auquel participent sept rescapés de ce camp, tous déportés à l'adolescence. La négation de la Shoah est absolument intolérable... M. le président.C'est scandaleux ! Mme Muguette Dini....et nous condamnons ces thèses nauséabondes avec la plus grande fermeté. Le président iranien lie directement la légitimité d'Israël à l'existence de la Shoah. En d'autres termes, prouver que la Shoah est un mensonge collectif reviendrait à remettre en cause les droits incontestables et incontestés de l'existence de l'État d'Israël que le président iranien souhaite voir « rayé de la carte ». Comment discuter avec un chef d'État capable de prononcer et de répandre des thèses aussi haineuses et dangereuses pour la paix dans le monde ? Dans ces conditions, comment pouvons-nous encore transiger sur la question du nucléaire avec un tel régime ? Nous ne pouvons plus nous contenter de déclarations d'intentions et d'incantations. Les marges de manoeuvre sont faibles, nous le savons. En effet, entre un programme nucléaire civil, autorisé par le traité de non-prolifération, et son utilisation à des fins militaires, il n'y a qu'un pas. Dans ce contexte, ma question sera double. D'une part, comment le Gouvernement envisage-t-il de réagir face à l'organisation du colloque de Téhéran et aux thèses qui y ont été soutenues, notamment par M. Faurisson ? D'autre part, quelle sera l'attitude de la France et de ses partenaires à l'égard de l'Iran, concernant les risques de prolifération nucléaire dans la région qui mettent en péril les espoirs d'un rétablissement prochain de la paix au Moyen-Orient ?(Applaudissements sur les travées de l'UC-UDF et de l'UMP, ainsi que sur certaines travées du RDSE et du groupe socialiste.)	15.12.2006
M. Fabien Gay attire l'attention de Mme la ministre des armées au sujet des risques sanitaires et environnementaux liés aux activités du commissariat à l'énergie atomique (CEA) sur le site du fort de Vaujours entre 1955 et 1997. Les activités du CEA sur le fort de Vaujours, site de 45 hectares à 15 kilomètres de Paris, pourraient avoir des conséquences graves pour la santé des citoyens riverains du site, les salariés de BP Placo et ses sous-traitants. En effet, BP Placo, filiale du groupe Saint-Gobain, a acheté 30 hectares de ce site en 2010 avec le projet d'y ouvrir à terme une carrière de gypse à ciel ouvert. Les mesures de radioactivité effectuées en février 2014 ont débouché sur des résultats contradictoires, entre l'IRSN (Institut de radioprotection et de sûreté nucléaire) et la commission de recherche et d'information indépendantes sur la radioactivité (CRIIRAD), laissant à penser que certaines parties du site n'ont pas, ou pas suffisamment, été dépolluées par le CEA. Outre l'uranium manufacturé, d'autres types de pollutions tels que métaux lourds, produits chimiques et explosifs, ont été détectés lors des travaux en cours. Une étude de l'agence régionale de santé a révélé un taux de décès dus à une tumeur nettement supérieur à la moyenne régionale dans la commune de Courtry, qui jouxte le site. Si 32 % des décès en Ile-de-France sont dus à une tumeur, ce taux passe à 50 % à Courtry. Même si les causes exactes n'en sont pas élucidées, ceci justifierait également de conduire une étude identique à Coubron et à Vaujours. Si le terrain n'a pas été totalement décontaminé et dépollué, l'extraction de terres, les poussières diffusées de même que les ruissellements d'eau dans les nappes phréatiques pourraient s'avérer un désastre pour la santé des habitants proches du site. Il s'associe aux exigences de transparence et de vérité de citoyens, d'associations environnementales et d'élus locaux qui siègent à la commission de suivi de site du fort de Vaujours. Afin que le principe de précaution soit respecté, il demande donc la levée du secret défense sur les activités du CEA au fort de Vaujours ainsi que la liste exhaustive des substances chimiques et des métaux lourds utilisés pendant cette période, afin de permettre d'éclaircir une situation complexe et de prendre les mesures qui s'imposent.	21.12.2017
M. Patrick Kanner attire l'attention de M. le secrétaire d'État auprès de la ministre des solidarités et de la santé, chargé des retraites, sur l'impact de la réformes des retraites sur la situation des agents des industries électriques et gazières suite à la mobilisation inédite des travailleurs de la centrale nucléaire de Gravelines. La branche professionnelle des industries électriques et gazières est l'un des principaux régimes spéciaux appelés à disparaître dans la réforme de la retraite. Une branche qui compte 158 entreprises dont EDF et Engie, qui concentrent 90 % des 140 000 salariés concernés, dont 85 % chez EDF avec ses filiales Enedis et RTE. La retraite des IEG est adossée depuis 2005 au régime général et 68 % des pensions sont couvertes par les cotisations selon le rapport 2019 de la Cour des comptes, en particulier grâce à une surcotisation des employeurs de la branche. Les IEG ne bénéficient pas d'une subvention d'équilibre globale mais d'une taxe affectée, la contribution tarifaire d'acheminement. Si le taux de cotisation passe à 28 % pour tous, alors qu'il est d'environ 50 % dans les entreprises d'énergie, cela remet en cause le montant des pensions pour des catégories que ces entreprises finançaient. Il est pourtant question d'agents qui grimpent aux poteaux, réparent les fuites ou les réseaux d'électricité en montagne, de nuit, assurent les conduites de centrales ou des stocks vingt-quatre heures sur vingt-quatre. Pour avoir de l'électricité et du gaz en toute circonstance, c'est-à-dire remplir les missions de service public qui leur sont dévolues, cela leur demande des conditions de travail pénibles. Il lui demande, dans un contexte de forte mobilisation, comment il entend prendre en compte la pénibilité du travail dans le calcul des pensions et les conditions de départs à la retraites.	13.02.2020
M. Jean-Yves Roux appelle l'attention de Mme la ministre de la transition énergétique sur la situation alarmante des associations syndicales autorisées (ASA) d'irrigation et d'assainissement. Les 1149 ASA -reconnues d'utilité publique- sont présentes dans 42 départements et interviennent auprès de 35 000 exploitations agricoles. Les ASA sont utilisatrices d'électro-intensifs et à ce titre très dépendantes de la crise énergétique vécue depuis la fin 2021. En 2020, leur facture d'électricité se montait ainsi à 30 millions d'euros. Cette année, des dispositions ont été prises pour limiter l'impact de cette évolution tarifaire, telles la baisse exceptionnelle de la contribution au service public de l'électricité (CSPE), une augmentation du volume de l'accès régulé à l'énergie nucléaire historique (ARENH) ainsi qu'une aide aux entreprises énergo-intensives. Or certaines mesures ne concernent que marginalement les ASA, déjà bénéficiaires d'un tarif spécifique. En 2023, d'autres aides destinées au secteur ont été prévues, avec un amortisseur tarifaire pour les entreprises devant payer plus de 325 euros/MWh, ainsi que le retour à 100TWH pour l'ARENH, ce qui inquiète plus encore le secteur. En effet, les ASA et syndicats intercommunaux indiquent que ces augmentations exponentielles de tarifs conduiront nécessairement à un arrêt des pompes alimentant les cultures irriguées par ces réseaux. Il est de plus impossible de changer très rapidement les cultures prévues et les exploitants agricoles ne pourront pas répercuter les hausses des coûts de production subies. Cet état de fait comporte ainsi des risques importants en termes de sécurité alimentaire nationale à très court terme. Aussi, il demande s'il ne pourrait être envisagé très vite un relèvement du plafond de l'ARENH à 120 E/MWH ainsi qu'un bouclier spécifique pour l'augmentation du prix du MWH.	08.12.2022
Mme Maryse Carrère attire l'attention de M. le ministre de l'économie, des finances et de la souveraineté industrielle et numérique sur la situation des consommateurs français engagés auprès de fournisseurs d'énergie par des contrats courant sur plusieurs années. En effet, l'Europe a connu en fin d'année dernière un emballement de son marché de l'électricité avec des prix sans précédent, parfois bien au-delà de 1 000 €/MWh, sans rapport par exemple avec les 42 €/MWh du tarif d'accès régulé à l'électricité nucléaire historique (ARENH). Afin de protéger les consommateurs de notre pays, le Gouvernement a mis en place plusieurs dispositifs visant à ramener les factures d'électricité à un coût acceptable (seuil de prix de 180 €/MWh dans le dispositif « amortisseur électricité »). Toutefois, au vu des prévisions de hausse des prix en milieu d'année dernière, bon nombre d'usagers, dont de nombreuses collectivités, avaient été amenés à conclure des contrats d'électricité sur plusieurs années. Ces contrats constituaient alors une mesure de précaution vis-à-vis de prix faramineux qui étaient alors annoncés par la majorité des experts dans le domaine. Aujourd'hui, ces contrats conduisent parfois à un prix de vente déconnecté du marché actuel de l'électricité bien au-delà des deux seuils évoqués ci-dessus. Pour pallier ce problème, les syndicats départementaux de Haute-Garonne et des Hautes-Pyrénées (dont leurs présidents) ont travaillé en commun pour envisager à une solution qu'ils ont transmise au ministère. Celle-ci permettrait aux usagers de pouvoir résilier leurs contrats selon des modalités analogues aux contrats d'assurance ou de complémentaire santé. Aussi, dans ce contexte très particulier du marché de l'électricité, elle lui demande s'il envisage de porter des mesures afin d'autoriser la résiliation sans frais des contrats qui seraient en incohérence avec le marché actuel de l'électricité. Cette réglementation serait semblable à la réforme engagée en 2014 pour les contrats d'assurance automobile dans le cadre de la loi n° 2014-344 du 17 mars 2014 relative à la consommation, d'ailleurs reprise en 2020 pour les contrats de complémentaire santé.	23.02.2023
M. Jacques Gillot attire l'attention de M. le ministre d'État, ministre de l'écologie, de l'énergie, du développement durable et de l'aménagement du territoire concernant le récent rapport de la de la commission sur l'organisation des marchés de l'électricité, chargée par le Gouvernement de réfléchir à l'évolution des prix de l'électricité et à leur encadrement. Les évènements sociaux survenus récemment en Guadeloupe ont révélé l'importance des tarifs règlementés de vente d'électricité, basés sur le principe de la péréquation tarifaire nationale dont bénéficient nos concitoyens de métropole et d'outre-mer. Conformément aux revendications des associations de consommateurs, le rapport revient sur la législation en vigueur en préconisant, au-delà du 1er juillet 2010, le maintien des tarifs réglementés de vente aux particuliers et aux petites entreprises (artisans, commerçants, etc.), ainsi que le maintien de la réversibilité, disposition permettant de choisir librement entre le marché et le service public. En revanche, il recommande la fin des tarifs réglementés pour les entreprises, en accordant l'énergie nucléaire aux concurrents d'EDF à un coût privilégié. Ce dispositif, s'il est adopté par le Gouvernement, induira un changement majeur pour les entreprises, qui dans leur très grande majorité, paient des prix réglementés (tarifs jaunes ou verts, « Tartam » qui est le tarif transitoire permettant à ceux qui ont choisi le marché libre de revenir aux tarifs régulés). Si le Gouvernement adopte cette position, comment garantir une hausse modérée de la facture d'électricité pour nos entreprises ? En effet, non seulement, l'ouverture à la concurrence du marché de l'électricité n'a pas produit les effets escomptés en métropole, mais de plus, cette concurrence sur le marché de l'électricité est un leurre dans les territoires ultramarins. La majorité des communes souhaitent que la fourniture d'électricité aux tarifs réglementés de vente reste un service public local, sous le contrôle des collectivités locales, autorités régulatrice de ce service public. Avant toute modification de la législation en vigueur qui réduira le périmètre de la mission de service public organisée entre EDF et les collectivités locales, il lui demande de lui préciser s'il envisage de présenter aux élus des territoires d'outre-mer les effets prévisibles qu'une telle modification législative entraînerait pour les entreprises et particuliers d'outre-mer. En effet, la préservation des tarifs réglementés de vente d'électricité constitue une priorité en tant qu'elle contribue à la compétitivité de nos entreprises et à l'amélioration du pouvoir d'achat de nos concitoyens.	14. Mai 09
M. Jean Louis Masson demande à Mme la ministre de l'égalité des territoires et du logement si la délivrance d'un permis de construire peut donner lieu, dans certains cas, à des arrêtés conjoints du préfet et du maire de la commune.	02. Mai 13
