filtered_text;sentiment;date
"schließt sich der Analyse der Kommission an, der zufolge die Atomkraft weiterhin Teil des Energiemixes bleiben sollte und hierzu unverzüglich einheitliche rechtliche und wirtschaftliche Rahmenbedingungen geschaffen werden müssen, um die notwendigen Investitionsentscheidungen zu ermöglichen; fordert die Kommission auf, einen konkreten Fahrplan für Investitionen in die Kernenergie zu erstellen; ist der Auffassung, dass es dringend geboten ist, in der Gesellschaft eine vorurteilsfreie Debatte über die Nutzung dieser Energiequelle anzustoßen; fordert die Kommission auf, darauf hinzuwirken, dass als wesentliches Element der Europäischen Nachbarschaftspolitik der gemeinschaftliche Besitzstand im Bereich der kerntechnischen Sicherheit von den Nachbarländern übernommen wird, wenn dort ein neues Kernkraftwerk geplant oder ein altes modernisiert wird; 87.";positive;09.03.2009
"in der Erwägung, dass Indien den Vertrag über die Nichtverbreitung von Atomwaffen nicht unterzeichnet hat; in der Erwägung, dass die Gruppe der KernmaterialLieferländer das Atomembargo gegen Indien aufgehoben hat und das Abkommen über die Zusammenarbeit zwischen den USA und Indien bei der zivilen Nutzung von Atomkraft vom US-amerikanischen Kongress gebilligt wurde, S.";neutral;23.04.2009
"in der Erwägung, dass die Vereinigten Staaten und Indien ein Abkommen über die Zusammenarbeit bei der zivilen Nutzung von Atomkraft unterzeichnet haben, P. nimmt zur Kenntnis, dass die Gruppe der Kernmaterial-Lieferländer das Abkommen zwischen den Vereinigten Staaten und Indien über die zivile Nutzung der Atomkraft gebilligt hat (und dass Indien einseitig erklärt hat, seinen Verpflichtungen im Zusammenhang mit der Nichtverbreitung nachkommen zu wollen und an seinem freiwilligen Moratorium für alle Kernwaffentests festzuhalten); fordert die indische Regierung auf, ihr Moratorium über Kernwaffentests in eine rechtlich bindende Verpflichtung zu überführen; 20.";neutral;24.10.2008
Zusammenfassung Der Bericht behandelt im Bereich der ionisierenden Strahlung – die natürliche Strahlenexposition, die zivilisatorisch verändert sein kann, – die zivilisatorische Strahlenexposition durch kerntechnische Anlagen, – die berufliche Strahlenexposition, – die medizinische Strahlenexposition, – sowie die Strahlenexposition durch den Unfall im Atomkraftwerk Tschernobyl und durch Kernwaffenversuche. Der Unfall im Atomkraftwerk Tschernobyl, der am 26. Der Beitrag der Strahlenexposition durch Atomkraftwerke und sonstige kerntechnische Anlagen in der Bundesrepublik Deutschland zur mittleren effektiven Dosis der Bevölkerung blieb auch im Jahr 2004 deutlich unter 1% der gesamten zivilisatorischen Strahlenexposition. Strahlenexposition durch den Unfall im Atomkraftwerk Tschernobyl und den KernwaffenFall-out Die durch den Unfall im Atomkraftwerk Tschernobyl resultierende mittlere Strahlenexposition der Bevölkerung ging zwar von 0,11 mSv im Jahr 1986 auf weniger als 0,015 mSv im Jahre 2004 zurück, dennoch finden sich in Lebensmitteln aus Waldgebieten vereinzelt noch stark erhöhte Cäsium-137-Werte.;negative;08.12.2005
Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/DIE GRÜNEN) Kann die Bundesregierung die Abwehr terroristischer Angriffe gegen Atomkraftwerke sicherstellen und eine Gefährdung der Bevölkerung mit Sicherheit ausschließen?*) 21. Abgeordnete Sylvia Kotting-Uhl (BÜNDNIS 90/DIE GRÜNEN) Welche Kosten entstehen bei der Entsorgung des hochradioaktiven Atommülls der Kernforschungsanlage in Karlsruhe, und lassen sich die Entsorgungskosten hochradioaktiven Atommülls der Atomkraftwerke aus den Erkenntnissen aus Karlsruhe ableiten?*) 44.;negative;13.01.2006
Wir haben das davon abhängig gemacht – deshalb ist der Startschuss für den Wiederbeginn der Gespräche noch nicht gefallen –, dass der Iran Signale gibt, dass er von der in jüngster Zeit zu beobachtenden Praxis einseitiger Schritte ablässt und eine Lösung akzeptiert, die dem Iran die friedliche Nutzung der Atomkraft erlaubt, gleichzeitig aber ausschließt, dass der Brennstoffkreislauf geschlossen wird.;neutral;30.11.2005
Reinhard Loske (BÜNDNIS 90/ DIE GRÜNEN) Ist die Bundesregierung der Meinung, dass die Atomenergie in Deutschland einen relevanten Beitrag zur Einsparung von klimaschädlichen Treibhausgasen leisten kann, und wie viele Atomkraftwerke müssten in Deutschland gebaut werden, um bis 2020 40 Prozent der Treibhausgase gebenüber 1990 einzusparen?;positive;27.01.2006
"Längere Laufzeiten von Atomkraftwerken bergen nicht nur zusätzliche Risiken, sondern ziehen auch zusätzliche Kosten nach sich: für altersbedingte Nachrüstungen, für erforderliche Sicherheitsinvestitionen gegen Terrorgefahren, für die Endlagerung zusätzlichen Atommülls. Auch zur Versorgungssicherheit kann die Atomkraft keinen wesentlichen Beitrag leisten. Das hohe Alter der derzeit weltweit betriebenen 442 AtomkraftDrucksache 16/579 – 2 – Deutscher Bundestag – 16. Bei jeder möglichen und unmöglichen Gelegenheit rufen Vertreter der CDU und CSU nach längeren Laufzeiten für Atomkraftwerke. Doch wer fordert, dass die Atomkraft eine wichtigere Rolle für die hiesige Versorgungssicherheit spielen soll, muss auch sagen, wie viele neue Atomkraftwerke gebaut werden sollen. als Ersatz für die Grundlast der abzuschaltenden Atomkraftwerke den Neubau und die Optimierung bestehender Biomassekraftwerke, Tiefenerdwärmekraftwerke und Wasserkraft zu unterstützen; 10.";negative;07.02.2006
Mit dem Terrorismus ist eine neue Gefahr aufgetaucht, für die Atomkraftwerke nie ausgelegt wurden. Weder scheint es möglich, Terroranschläge auf Atomkraftwerke auszuschließen, noch sind die Atomkraftwerke dafür gebaut, einem Terrorangriff mit Sicherheit standzuhalten. Die Missbrauchgefahr energetisch genutzter Atomkraft erschöpft sich aber nicht nur auf Terroranschläge, sondern umfasst auch die Proliferationsgefahren. Jegliche Weiterverbreitung von Atomkraftwerken beinhaltet somit auch die Verbreitungsgefahr von Atomwaffen. Teilt die Bundesregierung die Auffassung, dass das Atomkraftwerk (AKW) Brunsbüttel neben der besonderen Störanfälligkeit und den Werkstoffproblemen, die mit der Alterung der Anlage zunehmen, eine grundlegende Auslegungsschwäche aufweist und deshalb die Bodenwanne des Containments im Fall einer Kernschmelze innerhalb weniger Minuten durchschmelzen würde, der Sicherheitsbehälter also besonders anfällig für rasches Durchschmelzen ist? April 2003 sich in dem Block 2 des ungarischen Atomkraftwerks Paks II 30 hochradioaktive Brennelemente überhitzten, die dabei zerstört wurden obwohl der Reaktor zuvor mit westlicher Hilfe modernisiert worden war? Ist der Bundesregierung bekannt, dass unter dem Kraftwerksgelände des Atomkraftwerks Neckarwestheim Hohlraumbildungen vorhanden sind, sowie dass Jahr für Jahr in großen Mengen gelöstes Gestein durch Grundwasserabpumpung ausgespült wird, das die Hohlräume vergrößern kann? Gerhard Jentzsch (Jena), Präsident der Deutschen Geophysikalischen Gesellschaft, dass die Erdbebensicherheit durch die Hohlraumbildung unter den genannten Atomkraftwerksstandorten deutlich verringert wird (Quelle: Greenpeace: Risiko Restlaufzeit. Die Probleme und Schwachstellen der vier ältesten deutschen Atomkraftwerke. Kann ein Versagen der Sicherheitsventile, wie beim Störfall im Atomkraftwerk Unterweser 1998 (hier haben bei einer Schnellabschaltung die Sicherheitsventile nicht funktioniert), nun auch in Deutschland ausgeschlossen werden, oder ist hier, im Gegensatz zu den USA und Frankreich, das Hochfahren der Reaktoren auch dann möglich, wenn die Ventile geschlossen sind? Sieht die Bundesregierung die Verfügbarkeit von ausreichend ausgebildetem Personal in Deutschland bis zur im Atomausstiegsgesetz vorgesehenen Abschaltung des letzten Atomkraftwerks als gesichert an, obwohl seit mehreren Jahren kaum noch Nuklearphysiker ausgebildet werden? Wurden die Betreiber von Atomkraftwerken nach dem Verursacherprinzip an der Finanzierung der Jodtabletten beteiligt? Welche Folgen für die Bevölkerung, die Ökonomie sowie die Energieinfrastruktur hätte es aus Sicht der Bundesregierung, wenn in Deutschland ein erfolgreicher Terrorangriff auf ein Atomkraftwerk ausgeführt würde? Terrorgefahren für Atomkraftwerke 12. Wahlperiode – 3 – Drucksache 16/724 als bisher angenommen sei, dass es auch zu Terrorakten auf Atomkraftwerke kommen könne und zu der Gefahr dass Regierungen Atommaterial für geheime Nuklearprogramme benutzen könnten, nun auch die Gefahr hinzu käme, dass sich Extremisten radioaktives Material beschaffen, um damit Panik in der Bevölkerung zu schüren oder Gebiete gezielt zu verseuchen (Quelle: SPIEGEL ONLINE v. Welche Szenarien terroristischer Angriffe auf Atomanlagen, insbesondere Atomkraftwerke, hält die Bundesregierung für möglich? Ist der Bundesregierung bekannt, dass im November 2005 in Australien mutmaßliche Terroristen festgenommen wurden, die einen Anschlag auf das Atomkraftwerk Lucas Heights in Sydney geplant hatten und einige davon direkt vor dem Atomkraftwerk verhaftet wurden und das Schloss zum Zufahrtstor des Reaktors bereits aufgebrochen war? Hat die Bundesregierung davon Kenntnis genommen, dass der Forschungsmitarbeiter beim Bundesbeauftragten für die Unterlagen des Staatssicherdienstes der ehemaligen Deutschen Demokratischen Republik (BStU), Thomas Auerbach, berichtet, dass in der aus Sicherheitserwägungen nicht veröffentlichten Liste der 346 Zielobjekte des Jahres 1981 6 Atomkraftwerke (Neckarwestheim, Philippsburg, Biblis, Stade, Würgassen und Gundremmingen sowie die Kernforschungsanlagen Jülich und Karlsruhe) aufgeführt worden seien (Quelle: Thomas Auerbach: Einsatzkommandos an der unsichtbaren Front. Ist der Bundesregierung bekannt, mit welchen Mitteln die Atomkraftwerke angegriffen werden sollten? Ist der Bundesregierung bekannt, warum diese 6 Atomkraftwerke ausgewählt wurden? Hält die Bundesregierung in Ansehung der Erkenntnisse der Terrorismusforschung sowie der Hinweise auf mögliche Anschlagsplanungen der Vergangenheit die Auffassung der Betreiber für zutreffend, dass Atomkraftwerke deshalb nicht als potentielle Anschlagsziele anzusehen seien, weil ihnen in der Vorstellungswelt potentieller Täter keine hohe symbolische Bedeutung, etwa vergleichbar der Bedeutung des Word Trade Center, zukommen soll? Kann die Bundesregierung mit Sicherheit die erfolgreiche Abwehr terroristischer Angriffe gegen Atomkraftwerke garantieren? Wird das Eindringen von bewaffneten Gruppierungen in ein Atomkraftwerk als ein Risikoszenario betrachtet? Wie bewertet die Bundesregierung die vorgeschlagenen Maßnahmen einer vorbeugenden Vernebelung von Atomkraftwerken im Gefahrenfall? Wie bewertet die Bundesregierung die Kritik von Luftfahrtexperten an den geplanten Störungsmöglichkeiten der Navigationssysteme (Quelle: Greenpeace: Terrorangriffe auf deutsche Atomkraftwerke. Hat die Bundesregierung vor dem Hintergrund, dass die Atomkraftwerke an Wasserstraßen liegen, um den Kühlbedarf sicherzustellen, spezielle Maßnahmen getätigt, die einen erfolgreichen Angriff der von Schiffen ausgeht, verhindern könnten? September 2001 vor 3 Jahren Folge geleistet, anhand von Detailuntersuchungen mögliche Schadenspotenziale durch Flugzeugabstürze an den einzelnen Atomkraftwerken festzustellen und zu berichten, und welche nicht? Schließt die Bundesregierung den Abschuss von Passagierflugzeugen als Abwehrmaßnahme zum Schutz der Atomkraftwerke aus? Welche Schlussfolgerungen zieht die Bundesregierung für Atomkraftwerke aus den Erkenntnissen des Bundesministers des Innern, Dr. Falls ja, trifft die Bundesregierung besondere Maßnahmen, um die Terrorgefahr für Atomkraftwerke zu vermindern? Beabsichtigt die Bundesregierung, die besonders terrorgefährdeten Atomkraftwerke während der Fußballweltmeisterschaft stillzulegen, oder versucht die Bundesregierung im Einvernehmen mit den Atomkraftwerksbetreibern der besonders gefährdeten Atomkraftwerke eine vorübergehende Stilllegung dieser Atomkraftwerke zu bewirken? Welche Strategien verfolgt die Bundesregierung, um in der europäischen Union die Terrorgefahr für Atomkraftwerke auszuschließen? Welche Atomkraftwerke sind daraus folgend nach Auffassung der Bundesregierung so ausgelegt, dass ein Super-GAU mit verheerender Freisetzung von Radioaktivität ausgeschlossen werden kann, für den Fall, dass es zu einem Absturz einer voll betankten großen Passagiermaschine des Typs Boing 747 oder der A380-Klasse kommt? Ist der Bundesregierung bekannt, dass die meisten in Deutschland in Betrieb befindlichen Atomkraftwerke für den potenziellen Absturz eines PhantomKampfflugzeugs ausgelegt sind, die nur ein Zwanzigstel von dem Gewicht eines Airbus A380 aufweisen, und hat die Bundesregierung Kentnnis davon, dass einige Atomkraftwerke wie Biblis B, Neckarwestheim I, Unterweser und Isar 1 nur für den wesentlich leichteren Starfighter ausgelegt sind, die Atomkraftwerke Brunsbüttel sowie Biblis A sogar nur für den Absturz eines Sportflugzeuges? Kann die Bundesregierung bestätigen, dass verschiedene Atomkraftwerke älterer Bauart auch nicht gegen die Zerstörung der Reaktorhülle durch den zufälligen Absturz einer schnell fliegenden Militärmaschine ausgelegt und somit hinreichend gesichert sind? Geht die Bundesregierung davon aus, dass sämtliche Atomkraftwerke in gleichem Maße Sprengstoffen, Raketen oder Granaten standhalten könnten, oder gibt es Unterschiede etwa aufgrund verschiedener Baumaterialien und Wanddicken? Ist es aus Sicht der Bundesregierung ausgeschlossen, dass von außen die Computeranlagen der Atomkraftwerke dahin gehend beeinflusst werden können, dass eine Gefährdung des Betriebs entstehen könnte? Ist es aus Sicht der Bundesregierung ausgeschlossen, dass Mitarbeiter von Atomkraftwerken den Betrieb manipulieren und damit gefährden – etwa indem sie Sabotage an Mess- und Überwachungsgeräten, Ventilen, Pumpen oder am BE-Lagerbecken begehen – oder mit Eindringlingen von außen zusammenarbeiten? Wurden sämtliche 55 Auflagen befolgt, die 1991 in zwei Bescheiden zur Anlagensicherheit und Anlagensicherung gemacht wurden, nachdem in einer Sicherheitsanalyse erhebliche Mängel am Atomkraftwerk Biblis A festgestellt wurden (Quelle: Greenpeace: Risiko Restlaufzeit. Die Probleme und Schwachstellen der vier ältesten deutschen Atomkraftwerke. Kann nach Auffassung der Bundesregierung ausgeschlossen werden, dass bei dem Atomkraftwerk Neckarwestheim I mit seinem zum Teil vermischten Notkühlsystem Schäden eines Notkühlstrangs zu Schäden an anderen Strängen führen? Ist es korrekt, dass das Atomkraftwerk Neckarwestheim I noch schwächer gegen schwerere Flugzeugabstürze ausgelegt ist als das Atomkraftwerk Neckarwestheim II? Gibt es nach Erkenntnissen der Bundesregierung im Ausland Atomkraftwerke, die sicherer gegen Terrorangriffe mit Passagierflugzeugen ausgelegt sind als die deutschen Atomkraftwerke Biblis A und Brunsbüttel? Ist der Bundesregierung der Fall bekannt, dass Atomkraftwerksgegner am 10. Ist der Bundesregierung bekannt, dass dutzende Aktivistinnen und Aktivisten von Greenpeace in Australien im Jahre 2001 nach den Terroranschlägen in den USA ohne Widerstand auf das Atomkraftwerksgelände des Reaktors Lukas Heights vorgedrungen sind und erst eine halbe Stunde später die Polizei eintraf? hat sie angeordnet, um die Gefahren eines direkten und „erfolgreichen“ terroristischen Angriffs – zu Lande oder vom Fluss aus – auf ein Atomkraftwerk zu verringern? Würde die Bundesregierung Unternehmen dulden oder sogar unterstützen, falls sich deutsche Unternehmen beim Bau von Atomkraftwerken im Iran beteiligen möchten und falls der Iran vertraglich zusichert, sich an die Bestimmungen der Internationalen Atomenergie-Organisation zu halten? Gibt es internationale Atomkraftwerksprojekte, die von der Bundesregierung unter Proliferationsgesichtspunkten kritisch betrachtet werden? Sollte aus Sicht der Bundesregierung der derzeitige globale Anteil der Atomenergie am Endenergieverbrauch von etwa 2,5 Prozent deutlich zunehmen und die Anzahl der rund 440 weltweiten Atomkraftwerke, die heute somit eine genutzte Energiemenge erzeugen, die etwa der jährlichen globalen Zunahme des Energieverbrauchs entspricht, steigen, und falls ja, sieht die Bundesregierung zusätzliche Proliferationsschutzmaßnahmen als erforderlich an? Teilt die Bundesregierung die Auffassung, dass es eine erhebliche Beeinträchtigung der Akzeptanz der Atomenergie zur Folge haben könnte, falls es zu einem Anschlag auf ein Atomkraftwerk im In- oder Ausland kommen sollte, in dessen Konsequenz erheblicher Druck ausgeübt werden dürfte, Atomkraftwerke abzuschalten? Wird die Bundesregierung an ihrer Position festhalten, für Atomkraftwerksneubauten keine Hermes-Bürgschaften zu vergeben, so wie es in den aktuell gültigen Hermes-Leitlinien festgelegt ist? Wie beurteilt die Bundesregierung die Laufzeitverlängerung von Atomkraftwerken in Nachbarstaaten? Setzt sich die Bundesregierung in anderen europäischen Staaten dafür ein, die Laufzeiten für ältere und damit gefährlichere Atomkraftwerke nicht zu verlängern?;negative;09.02.2006
Abgeordnete Ute Koczy (BÜNDNIS 90/ DIE GRÜNEN) Trifft es zu, dass der Bundesregierung Voranfragen von deutschen Banken oder Unternehmen zu Hermesbürgschaften für den Bau des geplanten bulgarischen Atomkraftwerkes Belene vorliegen, und wenn ja, wie wird die Bundesregierung sich dazu verhalten?;neutral;03.03.2006
