Text;Classification;Date
"Commission des affaires économiques Une réunion conjointe a été organisée avec l'Office parlementaire d'évaluation des choix scientifiques et technologiques, la commission des affaires économiques, la commission  du développement durable et de l'aménagement du territoire et la commission de l'économie, du développement durable et de l'aménagement du territoire du Sénat, sur la crise nucléaire au Japon avec la participation de Mme Nathalie Kosciusko-Morizet, ministre de l'écologie, du développement durable, des transports et du logement ; M. Éric Besson, ministre chargé de l'industrie, de l'énergie et de l'économie numérique ; M. André-Claude Lacoste, président de l'Autorité de sûreté nucléaire (ASN) ; Mme Agnès Buzyn, présidente du conseil d'administration de l'Institut de radioprotection et de sûreté nucléaire (IRSN), accompagnée de M. Jacques Repussard, directeur général ; M. Bernard Bigot, administrateur général du Commissariat à l'énergie atomique et aux énergies alternatives ; M. Luis Echávarri, directeur général de l'agence de l'OCDE pour l'énergie nucléaire ; Mme Anne Lauvergeon, présidente du directoire d'Areva, accompagnée de M. Philippe Knoche, responsable de l'activité Réacteurs et Services ; M. Henri Proglio, président-directeur général d'EDF, et M. Henri Revol, président du Haut Comité pour la transparence et l'information sur la sécurité nucléaire.";neutral;16.03.2011
"Commission du développement durable et de l'aménagement du territoire Une réunion conjointe a été organisée avec l'Office parlementaire d'évaluation des choix scientifiques et technologiques, la commission des affaires économiques, la commission  du développement durable et de l'aménagement du territoire et la commission de l'économie, du développement durable et de l'aménagement du territoire du Sénat, sur la crise nucléaire au Japon avec la participation de Mme Nathalie Kosciusko-Morizet, ministre de l'écologie, du développement durable, des transports et du logement ; M. Éric Besson, ministre chargé de l'industrie, de l'énergie et de l'économie numérique ; M. André-Claude Lacoste, président de l'Autorité de sûreté nucléaire (ASN) ; Mme Agnès Buzyn, présidente du conseil d'administration de l'Institut de radioprotection et de sûreté nucléaire (IRSN), accompagnée de M. Jacques Repussard, directeur général ; M. Bernard Bigot, administrateur général du Commissariat à l'énergie atomique et aux énergies alternatives ; M. Luis Echávarri, directeur général de l'agence de l'OCDE pour l'énergie nucléaire ; Mme Anne Lauvergeon, présidente du directoire d'Areva, accompagnée de M. Philippe Knoche, responsable de l'activité Réacteurs et Services ; M. Henri Proglio, président-directeur général d'EDF, et M. Henri Revol, président du Haut Comité pour la transparence et l'information sur la sécurité nucléaire.";neutral;16.03.2011
a fait deux commentaires sur les priorités de la présidence française. Sur la question de l'énergie, la Bulgarie doit suivre le programme ambitieux élaboré sous présidence allemande. Les plafonds doivent cependant tenir compte de la croissance économique des nouveaux adhérents et de la crise financière mondiale. Il s'est dit satisfait de l'évolution de la position française en matière de défense commune, évolution illustrée par le récent discours du Président de la République en Grande-Bretagne. En envoyant des troupes supplémentaires en Afghanistan, la France confirme ainsi son engagement de lutte contre le terrorisme. Même si la décision est difficile à prendre sur le plan intérieur dans la mesure où ce sont des hommes qui seront exposés au combat, il est nécessaire, au nom de nos valeurs communes, de s'attaquer à nos ennemis à l'extérieur comme nous le faisons à l'intérieur de nos frontières. Le Président Pierre Lequiller a rappelé qu'un débat sur ce sujet à l'Assemblée nationale a eu lieu, opposant majorité et opposition et a considéré cet effort supplémentaire comme indispensable. Les propos du Président sur l'énergie nucléaire sont très intéressants. En effet, si la question des énergies renouvelables est posée dans toutes les grandes déclarations sur l'énergie, le sujet de l'énergie nucléaire demeure un sujet tabou dans les cercles européens. Or ce sera le vrai enjeu de l'Europe de l'énergie si l'on veut que l'Europe devienne indépendante, vis-à-vis de la Russie par exemple. Même si certaines personnalités comme M. Hans-Gert Pöttering abordent la question, un pays comme l'Allemagne est particulièrement gêné sur ce sujet dans la mesure où la coalition CDU-SPD a pris des positions très hostiles au nucléaire. La Grande-Bretagne a, quant à elle, décidé de relancer son programme nucléaire. La Bulgarie pourra appuyer la France pour que le sujet de l'énergie nucléaire soit abordé sans tabou. Le Président Mladen Petrov Tcherveniakov a indiqué que la Bulgarie a actuellement un projet avancé de construction d'une nouvelle centrale nucléaire. Son pays a une responsabilité particulière à l'égard des pays des Balkans de l'Ouest et les pays frontaliers. Ainsi l'arrêt d'une centrale thermique a créé des sérieux problèmes d'approvisionnement en Albanie. Dans un monde où les ressources énergétiques s'épuisent, il ne faut donc pas s'interdire d'aborder le sujet du nucléaire. Il en est de l'intérêt des pays producteurs et de ceux qui utilisent cette énergie.;positive;02.04.2008
Error;neutral;28.05.2008
M. Lacoste, président de l'ASN, l'a dit et répété : « Personne ne peut garantir qu'il n'y aura pas d'accident nucléaire en France ». Or, le Président de la République a affirmé hier à Gravelines que Fukushima n'était pas un accident nucléaire et que la France continuerait à investir dans cette filière. Par ailleurs, les dispositions de la loi « Grenelle II », qui ont considérablement durci les conditions d'installation des éoliennes, et les baisses successives des tarifs de rachat de l'énergie photovoltaïque ont porté un coup mortel aux filières industrielles des énergies renouvelables. Ainsi, à Blanquefort, en Gironde, un projet de cluster, qui devait aboutir à la création de 300 emplois, a été gelé. Madame la ministre, au moment où l'Allemagne prépare sa sortie du nucléaire, doit-on interpréter les propos du Président de la République comme l'engagement que la durée de vie des centrales en fonctionnement sera prolongée ou que le programme d'installation de nouvelles centrales de type EPR sera poursuivi ? Doit-on en déduire que le Gouvernement n'envisage pas de revenir sur les dispositions défavorables aux énergies renouvelables ? Enfin, doit-on interpréter l'annonce d'un audit financier par la Cour des comptes comme une prise de conscience que le coût de l'énergie nucléaire avait été considérablement sous-évalué ?;negative;04.05.2011
M. Lacoste, président de l'ASN, l'a dit et répété : « Personne ne peut garantir qu'il n'y aura pas d'accident nucléaire en France ». Or, le Président de la République a affirmé hier à Gravelines que Fukushima n'était pas un accident nucléaire et que la France continuerait à investir dans cette filière. Par ailleurs, les dispositions de la loi « Grenelle II », qui ont considérablement durci les conditions d'installation des éoliennes, et les baisses successives des tarifs de rachat de l'énergie photovoltaïque ont porté un coup mortel aux filières industrielles des énergies renouvelables. Ainsi, à Blanquefort, en Gironde, un projet de cluster, qui devait aboutir à la création de 300 emplois, a été gelé. Madame la ministre, au moment où l'Allemagne prépare sa sortie du nucléaire, doit-on interpréter les propos du Président de la République comme l'engagement que la durée de vie des centrales en fonctionnement sera prolongée ou que le programme d'installation de nouvelles centrales de type EPR sera poursuivi ? Doit-on en déduire que le Gouvernement n'envisage pas de revenir sur les dispositions défavorables aux énergies renouvelables ? Enfin, doit-on interpréter l'annonce d'un audit financier par la Cour des comptes comme une prise de conscience que le coût de l'énergie nucléaire avait été considérablement sous-évalué ?;negative;04.05.2011
rappelle que l'énergie nucléaire a longtemps été décriée alors qu'elle a été couronnée de succès. C'est le résultat de la politique du général de Gaulle puis des Présidents Pompidou et Giscard d'Estaing. Areva exerce tous les métiers de la filière nucléaire, depuis l'extraction de l'uranium et la fabrication du combustible jusqu'à la chaudière nucléaire et, grande originalité française, au retraitement – tri, recyclage, séparation des déchets et stockage en containers stables. Les délégations étrangères sont toujours stupéfaites que la France ait été capable d'assurer cette maîtrise industrielle. Le renouveau de l'énergie nucléaire conduit à des usages multiples : on imagine maintenant des réacteurs nucléaires pour la désalinisation de l'eau de mer. Selon certains experts, deux énergies seulement resteront disponibles au XXIIe siècle : le charbon et le nucléaire. Des bilans environnementaux sont-ils dressés sur les différents sites d'Areva ? La production des cuves gigantesques requiert des compétences en métallurgie mais aussi en chaudronnerie. La gestion des personnels passe par des volumes d'embauches considérables. Comment ces compétences sont-elles maintenues ? Dans les métiers de la métallurgie et de la chaudronnerie, les entreprises emploient beaucoup de femmes, dont la méticulosité fait des merveilles. Où en sont les ressources en uranium ? Comment Areva parvient-elle à maîtriser les prix, qui ont énormément augmenté ces dernières années ? Comment évolue la société Helion, pour laquelle la pile à hydrogène est devenue un enjeu majeur ? Où Areva en est-elle s'agissant de l'énergie marine ?;positive;19.12.2007
L'évaluation livrée par l'ASN dans son rapport annuel nous conforte dans notre appréciation de la sûreté du nucléaire français, même si l'effort d'amélioration doit être quotidien. Mais il a été également indiqué que les acteurs publics sont plus réticents que les acteurs privés à se conformer aux préconisations de cette autorité. Qu'entendez-vous faire pour remédier à ce comportement qui risque d'affaiblir la sûreté ? Vérité, transparence et qualité sont les maîtres mots dans le domaine du nucléaire. La France a certes des atouts et une certaine avance, mais cette culture du nucléaire ne peut rester cantonnée à notre pays. Comment entendez-vous fédérer l'ensemble de l'Union européenne et des pays qui souhaitent produire de l'énergie nucléaire pour éviter une nouvelle catastrophe et pour assurer la sécurité des approvisionnements énergétiques de la planète, dont les besoins en la matière devraient, selon plusieurs études, doubler d'ici à 2050 ? De nombreuses populations n'ont pas encore accès à l'électricité. Elles doivent pouvoir y accéder en toute sécurité. Le nucléaire est probablement l'énergie la plus adaptée à ce double défi.;positive;30.03.2011
L'évaluation livrée par l'ASN dans son rapport annuel nous conforte dans notre appréciation de la sûreté du nucléaire français, même si l'effort d'amélioration doit être quotidien. Mais il a été également indiqué que les acteurs publics sont plus réticents que les acteurs privés à se conformer aux préconisations de cette autorité. Qu'entendez-vous faire pour remédier à ce comportement qui risque d'affaiblir la sûreté ? Vérité, transparence et qualité sont les maîtres mots dans le domaine du nucléaire. La France a certes des atouts et une certaine avance, mais cette culture du nucléaire ne peut rester cantonnée à notre pays. Comment entendez-vous fédérer l'ensemble de l'Union européenne et des pays qui souhaitent produire de l'énergie nucléaire pour éviter une nouvelle catastrophe et pour assurer la sécurité des approvisionnements énergétiques de la planète, dont les besoins en la matière devraient, selon plusieurs études, doubler d'ici à 2050 ? De nombreuses populations n'ont pas encore accès à l'électricité. Elles doivent pouvoir y accéder en toute sécurité. Le nucléaire est probablement l'énergie la plus adaptée à ce double défi.;positive;30.03.2011
La catastrophe que vient de subir le Japon a permis au monde entier, et à la France en particulier, de prendre conscience du danger que représente le nucléaire. Nous savions tous que cette source d'énergie était aussi une source d'inquiétude, et nombre d'entre nous avaient depuis longtemps mesuré le danger potentiel représenté par les centrales nucléaires, non seulement du fait de leur vieillissement, mais aussi parce qu'elles produisent des déchets à la nocivité « durable », puisqu'elle se mesure en milliers d'années. La soudaineté et la violence de cette prise de conscience doivent impérativement déboucher sur un changement de la stratégie énergétique de la France. Certes, nous avons aujourd'hui besoin d'un audit sur les centrales, mais nous ne pouvons continuer à miser sur le « tout nucléaire ». Il est temps de mettre en place des protocoles de sortie du nucléaire et de se tourner vers des sources d'énergie moins dangereuses – même si le risque zéro n'existe pas – et moins nocives, pour les hommes et pour la planète. Vous nous avez dit, madame la ministre, que l'on avait beaucoup appris de Tchernobyl. J'espère que nous apprendrons beaucoup de Fukushima, et que vous allez prendre clairement position en faveur d'une diminution de la part du nucléaire, voire de sa disparition progressive, et vous engager en faveur des énergies renouvelables, afin de ne pas condamner nos enfants, nos petits-enfants et nous-mêmes à subir de futurs Fukushima. Bref, à quand un grand débat sur le nucléaire ?;negative;04.05.2011
